name,brand,category,sku,description,package_size,search_keywords
GES Approved Primary 1 English Language Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0001,Ghana Education Service approved English textbook for 1 copy,1 copy,"primary 1, english, textbook, primary"
GES Approved Primary 1 Mathematics Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0002,GES approved Mathematics textbook for 1 copy,1 copy,"primary 1, mathematics, textbook, primary"
GES Approved Primary 1 Science Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0003,GES approved Integrated Science textbook for 1 copy,1 copy,"primary 1, science, textbook, primary"
GES Approved Primary 1 Our World Our People Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0004,OWOP textbook for 1 copy,1 copy,"primary 1, owop, social studies, primary"
GES Approved Primary 1 Ghanaian Language Textbook (Twi) 1 copy,GES Approved,Primary Textbooks,BKS-0005,Twi language textbook for 1 copy,1 copy,"primary 1, twi, ghanaian language"
GES Approved Primary 2 English Language Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0006,Ghana Education Service approved English textbook for 1 copy,1 copy,"primary 2, english, textbook, primary"
GES Approved Primary 2 Mathematics Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0007,GES approved Mathematics textbook for 1 copy,1 copy,"primary 2, mathematics, textbook, primary"
GES Approved Primary 2 Science Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0008,GES approved Integrated Science textbook for 1 copy,1 copy,"primary 2, science, textbook, primary"
GES Approved Primary 2 Our World Our People Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0009,OWOP textbook for 1 copy,1 copy,"primary 2, owop, social studies, primary"
GES Approved Primary 2 Ghanaian Language Textbook (Twi) 1 copy,GES Approved,Primary Textbooks,BKS-0010,Twi language textbook for 1 copy,1 copy,"primary 2, twi, ghanaian language"
GES Approved Primary 3 English Language Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0011,Ghana Education Service approved English textbook for 1 copy,1 copy,"primary 3, english, textbook, primary"
GES Approved Primary 3 Mathematics Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0012,GES approved Mathematics textbook for 1 copy,1 copy,"primary 3, mathematics, textbook, primary"
GES Approved Primary 3 Science Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0013,GES approved Integrated Science textbook for 1 copy,1 copy,"primary 3, science, textbook, primary"
GES Approved Primary 3 Our World Our People Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0014,OWOP textbook for 1 copy,1 copy,"primary 3, owop, social studies, primary"
GES Approved Primary 3 Ghanaian Language Textbook (Twi) 1 copy,GES Approved,Primary Textbooks,BKS-0015,Twi language textbook for 1 copy,1 copy,"primary 3, twi, ghanaian language"
GES Approved Primary 4 English Language Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0016,Ghana Education Service approved English textbook for 1 copy,1 copy,"primary 4, english, textbook, primary"
GES Approved Primary 4 Mathematics Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0017,GES approved Mathematics textbook for 1 copy,1 copy,"primary 4, mathematics, textbook, primary"
GES Approved Primary 4 Science Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0018,GES approved Integrated Science textbook for 1 copy,1 copy,"primary 4, science, textbook, primary"
GES Approved Primary 4 Our World Our People Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0019,OWOP textbook for 1 copy,1 copy,"primary 4, owop, social studies, primary"
GES Approved Primary 4 Ghanaian Language Textbook (Twi) 1 copy,GES Approved,Primary Textbooks,BKS-0020,Twi language textbook for 1 copy,1 copy,"primary 4, twi, ghanaian language"
GES Approved Primary 5 English Language Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0021,Ghana Education Service approved English textbook for 1 copy,1 copy,"primary 5, english, textbook, primary"
GES Approved Primary 5 Mathematics Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0022,GES approved Mathematics textbook for 1 copy,1 copy,"primary 5, mathematics, textbook, primary"
GES Approved Primary 5 Science Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0023,GES approved Integrated Science textbook for 1 copy,1 copy,"primary 5, science, textbook, primary"
GES Approved Primary 5 Our World Our People Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0024,OWOP textbook for 1 copy,1 copy,"primary 5, owop, social studies, primary"
GES Approved Primary 5 Ghanaian Language Textbook (Twi) 1 copy,GES Approved,Primary Textbooks,BKS-0025,Twi language textbook for 1 copy,1 copy,"primary 5, twi, ghanaian language"
GES Approved Primary 6 English Language Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0026,Ghana Education Service approved English textbook for 1 copy,1 copy,"primary 6, english, textbook, primary"
GES Approved Primary 6 Mathematics Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0027,GES approved Mathematics textbook for 1 copy,1 copy,"primary 6, mathematics, textbook, primary"
GES Approved Primary 6 Science Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0028,GES approved Integrated Science textbook for 1 copy,1 copy,"primary 6, science, textbook, primary"
GES Approved Primary 6 Our World Our People Textbook 1 copy,GES Approved,Primary Textbooks,BKS-0029,OWOP textbook for 1 copy,1 copy,"primary 6, owop, social studies, primary"
GES Approved Primary 6 Ghanaian Language Textbook (Twi) 1 copy,GES Approved,Primary Textbooks,BKS-0030,Twi language textbook for 1 copy,1 copy,"primary 6, twi, ghanaian language"
GES Approved JHS 1 English Language Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0031,GES approved English Language textbook for 1 copy,1 copy,"jhs 1, english, jhs textbook"
GES Approved JHS 1 Mathematics Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0032,GES approved Mathematics textbook for 1 copy,1 copy,"jhs 1, maths, jhs textbook"
GES Approved JHS 1 Integrated Science Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0033,GES approved Integrated Science textbook for 1 copy,1 copy,"jhs 1, science, jhs textbook"
GES Approved JHS 1 Social Studies Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0034,GES approved Social Studies textbook for 1 copy,1 copy,"jhs 1, social studies, jhs textbook"
GES Approved JHS 1 Career Technology Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0035,GES approved Career Technology textbook for 1 copy,1 copy,"jhs 1, career technology, jhs textbook"
GES Approved JHS 1 Computing Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0036,GES approved Computing/ICT textbook for 1 copy,1 copy,"jhs 1, computing, ict, jhs textbook"
GES Approved JHS 1 Religious and Moral Education Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0037,GES approved RME textbook for 1 copy,1 copy,"jhs 1, rme, jhs textbook"
GES Approved JHS 1 Ghanaian Language Textbook (Twi) 1 copy,GES Approved,JHS Textbooks,BKS-0038,Twi language textbook for 1 copy,1 copy,"jhs 1, twi, jhs textbook"
GES Approved JHS 1 French Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0039,French language textbook for 1 copy,1 copy,"jhs 1, french, jhs textbook"
GES Approved JHS 2 English Language Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0040,GES approved English Language textbook for 1 copy,1 copy,"jhs 2, english, jhs textbook"
GES Approved JHS 2 Mathematics Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0041,GES approved Mathematics textbook for 1 copy,1 copy,"jhs 2, maths, jhs textbook"
GES Approved JHS 2 Integrated Science Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0042,GES approved Integrated Science textbook for 1 copy,1 copy,"jhs 2, science, jhs textbook"
GES Approved JHS 2 Social Studies Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0043,GES approved Social Studies textbook for 1 copy,1 copy,"jhs 2, social studies, jhs textbook"
GES Approved JHS 2 Career Technology Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0044,GES approved Career Technology textbook for 1 copy,1 copy,"jhs 2, career technology, jhs textbook"
GES Approved JHS 2 Computing Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0045,GES approved Computing/ICT textbook for 1 copy,1 copy,"jhs 2, computing, ict, jhs textbook"
GES Approved JHS 2 Religious and Moral Education Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0046,GES approved RME textbook for 1 copy,1 copy,"jhs 2, rme, jhs textbook"
GES Approved JHS 2 Ghanaian Language Textbook (Twi) 1 copy,GES Approved,JHS Textbooks,BKS-0047,Twi language textbook for 1 copy,1 copy,"jhs 2, twi, jhs textbook"
GES Approved JHS 2 French Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0048,French language textbook for 1 copy,1 copy,"jhs 2, french, jhs textbook"
GES Approved JHS 3 English Language Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0049,GES approved English Language textbook for 1 copy,1 copy,"jhs 3, english, jhs textbook"
GES Approved JHS 3 Mathematics Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0050,GES approved Mathematics textbook for 1 copy,1 copy,"jhs 3, maths, jhs textbook"
GES Approved JHS 3 Integrated Science Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0051,GES approved Integrated Science textbook for 1 copy,1 copy,"jhs 3, science, jhs textbook"
GES Approved JHS 3 Social Studies Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0052,GES approved Social Studies textbook for 1 copy,1 copy,"jhs 3, social studies, jhs textbook"
GES Approved JHS 3 Career Technology Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0053,GES approved Career Technology textbook for 1 copy,1 copy,"jhs 3, career technology, jhs textbook"
GES Approved JHS 3 Computing Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0054,GES approved Computing/ICT textbook for 1 copy,1 copy,"jhs 3, computing, ict, jhs textbook"
GES Approved JHS 3 Religious and Moral Education Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0055,GES approved RME textbook for 1 copy,1 copy,"jhs 3, rme, jhs textbook"
GES Approved JHS 3 Ghanaian Language Textbook (Twi) 1 copy,GES Approved,JHS Textbooks,BKS-0056,Twi language textbook for 1 copy,1 copy,"jhs 3, twi, jhs textbook"
GES Approved JHS 3 French Textbook 1 copy,GES Approved,JHS Textbooks,BKS-0057,French language textbook for 1 copy,1 copy,"jhs 3, french, jhs textbook"
GES Approved SHS Core Mathematics Textbook 1 copy,GES Approved,SHS Core Textbooks,BKS-0058,GES approved Core Mathematics textbook for Senior High School,1 copy,"shs, core mathematics, core subject, textbook"
GES Approved SHS English Language Textbook 1 copy,GES Approved,SHS Core Textbooks,BKS-0059,GES approved English Language textbook for Senior High School,1 copy,"shs, english language, core subject, textbook"
GES Approved SHS Integrated Science Textbook 1 copy,GES Approved,SHS Core Textbooks,BKS-0060,GES approved Integrated Science textbook for Senior High School,1 copy,"shs, integrated science, core subject, textbook"
GES Approved SHS Social Studies Textbook 1 copy,GES Approved,SHS Core Textbooks,BKS-0061,GES approved Social Studies textbook for Senior High School,1 copy,"shs, social studies, core subject, textbook"
GES Approved SHS Elective Mathematics Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0062,GES approved Elective Mathematics elective textbook for Senior High School,1 copy,"shs, elective mathematics, elective, textbook"
GES Approved SHS Physics Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0063,GES approved Physics elective textbook for Senior High School,1 copy,"shs, physics, elective, textbook"
GES Approved SHS Chemistry Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0064,GES approved Chemistry elective textbook for Senior High School,1 copy,"shs, chemistry, elective, textbook"
GES Approved SHS Biology Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0065,GES approved Biology elective textbook for Senior High School,1 copy,"shs, biology, elective, textbook"
GES Approved SHS Elective ICT Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0066,GES approved Elective ICT elective textbook for Senior High School,1 copy,"shs, elective ict, elective, textbook"
GES Approved SHS Economics Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0067,GES approved Economics elective textbook for Senior High School,1 copy,"shs, economics, elective, textbook"
GES Approved SHS Geography Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0068,GES approved Geography elective textbook for Senior High School,1 copy,"shs, geography, elective, textbook"
GES Approved SHS Government Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0069,GES approved Government elective textbook for Senior High School,1 copy,"shs, government, elective, textbook"
GES Approved SHS History Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0070,GES approved History elective textbook for Senior High School,1 copy,"shs, history, elective, textbook"
GES Approved SHS Literature in English Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0071,GES approved Literature in English elective textbook for Senior High School,1 copy,"shs, literature in english, elective, textbook"
GES Approved SHS Christian Religious Studies Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0072,GES approved Christian Religious Studies elective textbook for Senior High School,1 copy,"shs, christian religious studies, elective, textbook"
GES Approved SHS Islamic Religious Studies Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0073,GES approved Islamic Religious Studies elective textbook for Senior High School,1 copy,"shs, islamic religious studies, elective, textbook"
GES Approved SHS French Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0074,GES approved French elective textbook for Senior High School,1 copy,"shs, french, elective, textbook"
GES Approved SHS Financial Accounting Textbook 1 copy,GES Approved,SHS Elective Textbooks,BKS-0075,GES approved Financial Accounting elective textbook for Senior High School,1 copy,"shs, financial accounting, elective, textbook"
