name,brand,category,sku,description,package_size,search_keywords
Pilot Ballpoint Pen (Blue) 1 piece,Pilot,Writing Instruments,BKS-0272,"Pilot blue ballpoint pen, 1 piece",1 piece,"pilot pen, blue pen, ballpoint"
Pilot Ballpoint Pen (Blue) Box of 12,Pilot,Writing Instruments,BKS-0273,"Pilot blue ballpoint pen, Box of 12",Box of 12,"pilot pen, blue pen, ballpoint"
Pilot Ballpoint Pen (Blue) Box of 50,Pilot,Writing Instruments,BKS-0274,"Pilot blue ballpoint pen, Box of 50",Box of 50,"pilot pen, blue pen, ballpoint"
Pilot Ballpoint Pen (Black) 1 piece,Pilot,Writing Instruments,BKS-0275,"Pilot black ballpoint pen, 1 piece",1 piece,"pilot pen, black pen"
Pilot Ballpoint Pen (Black) Box of 12,Pilot,Writing Instruments,BKS-0276,"Pilot black ballpoint pen, Box of 12",Box of 12,"pilot pen, black pen"
Schneider Ballpoint Pen (Blue) 1 piece,Schneider,Writing Instruments,BKS-0277,"Schneider blue ballpoint pen, 1 piece",1 piece,"schneider pen, ballpoint"
Schneider Ballpoint Pen (Blue) Box of 50,Schneider,Writing Instruments,BKS-0278,"Schneider blue ballpoint pen, Box of 50",Box of 50,"schneider pen, ballpoint"
Bic Cristal Ballpoint Pen (Assorted) Pack of 10,Bic Cristal,Writing Instruments,BKS-0279,"Bic Cristal assorted colour ballpoints, Pack of 10",Pack of 10,"bic cristal, assorted pens"
Bic Retractable Pen (Click) 1 piece,Bic,Writing Instruments,BKS-0280,"Bic retractable click pen, 1 piece",1 piece,"click pen, retractable pen"
Bic Retractable Pen (Click) Pack of 5,Bic,Writing Instruments,BKS-0281,"Bic retractable click pen, Pack of 5",Pack of 5,"click pen, retractable pen"
Uni-ball Gel Pen (Black) 1 piece,Uni-ball,Writing Instruments,BKS-0282,"Uni-ball black gel ink pen, 1 piece",1 piece,"uniball, gel pen"
Uni-ball Gel Pen (Black) Pack of 5,Uni-ball,Writing Instruments,BKS-0283,"Uni-ball black gel ink pen, Pack of 5",Pack of 5,"uniball, gel pen"
Gel Pen (Coloured Set) Pack of 10,,Writing Instruments,BKS-0284,"Assorted coloured gel pen set, Pack of 10",Pack of 10,"coloured gel pens, gel pen set"
Gel Pen (Coloured Set) Pack of 24,,Writing Instruments,BKS-0285,"Assorted coloured gel pen set, Pack of 24",Pack of 24,"coloured gel pens, gel pen set"
Pilot V5 Rollerball Pen 1 piece,Pilot V5,Writing Instruments,BKS-0286,"Pilot V5 rollerball pen, 1 piece",1 piece,"pilot v5, rollerball pen"
Parker Fountain Pen Ink Cartridges Pack of 5,Parker,Writing Instruments,BKS-0287,"Parker fountain pen ink cartridges, Pack of 5",Pack of 5,"ink cartridges, fountain pen ink"
Ink Bottle (Fountain Pen) 30ml,,Writing Instruments,BKS-0288,"Bottled fountain pen ink, 30ml",30ml,"ink bottle, fountain pen ink"
Staedtler Pencil (2B) 1 piece,Staedtler,Writing Instruments,BKS-0289,"Staedtler 2B drawing pencil, 1 piece",1 piece,"2b pencil, staedtler, drawing pencil"
Staedtler Pencil (2B) Box of 12,Staedtler,Writing Instruments,BKS-0290,"Staedtler 2B drawing pencil, Box of 12",Box of 12,"2b pencil, staedtler, drawing pencil"
Staedtler Pencil (4B) 1 piece,Staedtler,Writing Instruments,BKS-0291,"Staedtler 4B sketching pencil, 1 piece",1 piece,"4b pencil, sketching pencil"
Staedtler Pencil (4B) Box of 12,Staedtler,Writing Instruments,BKS-0292,"Staedtler 4B sketching pencil, Box of 12",Box of 12,"4b pencil, sketching pencil"
Faber-Castell Pencil (HB) 1 piece,Faber-Castell,Writing Instruments,BKS-0293,"Faber-Castell HB pencil, 1 piece",1 piece,"faber castell, hb pencil"
Faber-Castell Pencil (HB) Box of 12,Faber-Castell,Writing Instruments,BKS-0294,"Faber-Castell HB pencil, Box of 12",Box of 12,"faber castell, hb pencil"
Faber-Castell Drawing Pencil Set (Graded) Set of 6,Faber-Castell,Writing Instruments,BKS-0295,"Graded drawing pencil set (H to 6B), Set of 6",Set of 6,"drawing pencil set, graded pencils"
Faber-Castell Drawing Pencil Set (Graded) Set of 12,Faber-Castell,Writing Instruments,BKS-0296,"Graded drawing pencil set (H to 6B), Set of 12",Set of 12,"drawing pencil set, graded pencils"
Faber-Castell Mechanical Pencil 0.5mm,Faber-Castell,Writing Instruments,BKS-0297,"Faber-Castell mechanical pencil, 0.5mm",0.5mm,"mechanical pencil, faber castell"
Faber-Castell Mechanical Pencil 0.7mm,Faber-Castell,Writing Instruments,BKS-0298,"Faber-Castell mechanical pencil, 0.7mm",0.7mm,"mechanical pencil, faber castell"
Mechanical Pencil Lead Refill 0.5mm tube,,Writing Instruments,BKS-0299,"Mechanical pencil lead refill tube, 0.5mm tube",0.5mm tube,"pencil lead refill, lead tube"
Mechanical Pencil Lead Refill 0.7mm tube,,Writing Instruments,BKS-0300,"Mechanical pencil lead refill tube, 0.7mm tube",0.7mm tube,"pencil lead refill, lead tube"
Faber-Castell Coloured Pencils Set 12 pack,Faber-Castell,Writing Instruments,BKS-0301,"Faber-Castell coloured pencil set, 12 pack",12 pack,"coloured pencils, faber castell"
Faber-Castell Coloured Pencils Set 24 pack,Faber-Castell,Writing Instruments,BKS-0302,"Faber-Castell coloured pencil set, 24 pack",24 pack,"coloured pencils, faber castell"
Faber-Castell Coloured Pencils Set 36 pack,Faber-Castell,Writing Instruments,BKS-0303,"Faber-Castell coloured pencil set, 36 pack",36 pack,"coloured pencils, faber castell"
Watercolour Pencils Set 12 pack,,Writing Instruments,BKS-0304,"Water-soluble colour pencil set, 12 pack",12 pack,watercolour pencils
Stabilo Boss Highlighter Set (Assorted) Pack of 6,Stabilo Boss,Writing Instruments,BKS-0305,"Stabilo Boss assorted highlighter set, Pack of 6",Pack of 6,"stabilo boss, highlighter set"
Faber-Castell Highlighter Pen 1 piece,Faber-Castell,Writing Instruments,BKS-0306,"Faber-Castell highlighter marker, 1 piece",1 piece,"highlighter, faber castell"
Faber-Castell Highlighter Pen Pack of 4,Faber-Castell,Writing Instruments,BKS-0307,"Faber-Castell highlighter marker, Pack of 4",Pack of 4,"highlighter, faber castell"
Sharpie Permanent Marker (Black) 1 piece,Sharpie,Writing Instruments,BKS-0308,"Sharpie black permanent marker, 1 piece",1 piece,"sharpie, permanent marker"
Sharpie Permanent Marker (Black) Pack of 4,Sharpie,Writing Instruments,BKS-0309,"Sharpie black permanent marker, Pack of 4",Pack of 4,"sharpie, permanent marker"
Permanent Marker (Assorted) Pack of 8,,Writing Instruments,BKS-0310,"Assorted colour permanent markers, Pack of 8",Pack of 8,"permanent markers, assorted markers"
Whiteboard Marker (Assorted) Pack of 4,,Writing Instruments,BKS-0311,"Assorted colour whiteboard markers, Pack of 4",Pack of 4,"whiteboard markers, dry erase markers"
Whiteboard Marker Refill Ink 20ml,,Writing Instruments,BKS-0312,"Whiteboard marker refill ink, 20ml",20ml,"marker refill ink, whiteboard ink"
Staedtler Fineliner Pen Set Pack of 10,Staedtler,Writing Instruments,BKS-0313,"Staedtler fineliner pen set, Pack of 10",Pack of 10,"fineliner, staedtler pens"
Rotring Technical Drawing Pen Set Set of 3,Rotring,Writing Instruments,BKS-0314,"Rotring technical drawing pen set, Set of 3",Set of 3,"rotring, technical pen, drawing pen"
Crayons Set 12 pack,,Writing Instruments,BKS-0315,"Wax crayons set, 12 pack",12 pack,"crayons, wax crayons"
Crayons Set 48 pack,,Writing Instruments,BKS-0316,"Wax crayons set, 48 pack",48 pack,"crayons, wax crayons"
Oil Pastels Set 12 pack,,Writing Instruments,BKS-0317,"Oil pastel colour set, 12 pack",12 pack,"oil pastels, art pastels"
Oil Pastels Set 24 pack,,Writing Instruments,BKS-0318,"Oil pastel colour set, 24 pack",24 pack,"oil pastels, art pastels"
Charcoal Pencils Set of 3,,Writing Instruments,BKS-0319,"Charcoal drawing pencil set, Set of 3",Set of 3,"charcoal pencils, art pencils"
Chalk (Dustless White) Box of 100,,Writing Instruments,BKS-0320,"Dustless white classroom chalk, Box of 100",Box of 100,"dustless chalk, classroom chalk"
Pen Refill (Ballpoint) Pack of 10,,Writing Instruments,BKS-0321,"Ballpoint pen ink refills, Pack of 10",Pack of 10,"pen refill, ink refill"
A4 Paper Ream (70gsm) 500 sheets,,Paper Products,BKS-0322,"A4 white paper ream 70gsm, 500 sheets",500 sheets,"a4 paper, 70gsm, printing paper"
A3 Paper Ream 500 sheets,,Paper Products,BKS-0323,"A3 white printing paper ream, 500 sheets",500 sheets,"a3 paper, printing paper"
Legal Size Paper Ream 500 sheets,,Paper Products,BKS-0324,"Legal size photocopy paper ream, 500 sheets",500 sheets,"legal paper, foolscap paper"
Foolscap Paper (Ruled) Pack of 100,,Paper Products,BKS-0325,"Ruled foolscap writing sheets, Pack of 100",Pack of 100,"foolscap, ruled paper"
Carbon Paper Pack of 10,,Paper Products,BKS-0326,"Blue carbon copy paper sheets, Pack of 10",Pack of 10,"carbon paper, copy paper"
Carbon Paper Pack of 100,,Paper Products,BKS-0327,"Blue carbon copy paper sheets, Pack of 100",Pack of 100,"carbon paper, copy paper"
Tracing Paper A4 pad,,Paper Products,BKS-0328,"Translucent tracing paper pad, A4 pad",A4 pad,tracing paper
Tracing Paper A3 pad,,Paper Products,BKS-0329,"Translucent tracing paper pad, A3 pad",A3 pad,tracing paper
Thermal Receipt Paper Roll 57mm,,Paper Products,BKS-0330,"Thermal POS receipt paper roll, 57mm",57mm,"thermal paper, receipt roll, pos paper"
Thermal Receipt Paper Roll 80mm,,Paper Products,BKS-0331,"Thermal POS receipt paper roll, 80mm",80mm,"thermal paper, receipt roll, pos paper"
3M Sticky Notes (Post-it) 76x76mm,3M,Paper Products,BKS-0332,"3M Post-it sticky notes, 76x76mm",76x76mm,"post it, sticky notes"
3M Sticky Notes (Post-it) Pack of 5 pads,3M,Paper Products,BKS-0333,"3M Post-it sticky notes, Pack of 5 pads",Pack of 5 pads,"post it, sticky notes"
Sticky Flags/Page Markers Pack of 5 colours,,Paper Products,BKS-0334,"Adhesive page marker flags, Pack of 5 colours",Pack of 5 colours,"page markers, sticky flags"
Gift Wrapping Paper 1 sheet,,Paper Products,BKS-0335,"Decorative gift wrapping paper, 1 sheet",1 sheet,"wrapping paper, gift wrap"
Gift Wrapping Paper Pack of 5,,Paper Products,BKS-0336,"Decorative gift wrapping paper, Pack of 5",Pack of 5,"wrapping paper, gift wrap"
Bristol Board 1 sheet,,Paper Products,BKS-0337,"White bristol board sheet, 1 sheet",1 sheet,"bristol board, card sheet"
Bristol Board Pack of 10,,Paper Products,BKS-0338,"White bristol board sheet, Pack of 10",Pack of 10,"bristol board, card sheet"
Corrugated Card Pack of 5,,Paper Products,BKS-0339,"Corrugated craft card sheets, Pack of 5",Pack of 5,"corrugated card, craft board"
"Photo Paper (Glossy) A4, 20 sheets",,Paper Products,BKS-0340,"Glossy inkjet photo paper, A4, 20 sheets","A4, 20 sheets","photo paper, glossy paper"
Continuous Computer Paper Box,,Paper Products,BKS-0341,"Continuous feed dot-matrix paper, Box",Box,"computer paper, continuous paper"
Lever Arch File A4,,Filing & Organisation,BKS-0342,"Lever arch filing box file, A4",A4,"lever arch file, box file"
Lever Arch File Foolscap,,Filing & Organisation,BKS-0343,"Lever arch filing box file, Foolscap",Foolscap,"lever arch file, box file"
Box File A4,,Filing & Organisation,BKS-0344,"Cardboard box file, A4",A4,"box file, document file"
