name,brand,category,sku,description,package_size,search_keywords
Reroy Cables Single Core Cable 1.5mm²,Reroy Cables,Cables & Wires,ELE-0354,"Reroy single core PVC cable, 1.5mm², per 100m coil",1.5mm²,"reroy cable, single core, ghana cable"
Reroy Cables Single Core Cable 2.5mm²,Reroy Cables,Cables & Wires,ELE-0355,"Reroy single core PVC cable, 2.5mm², per 100m coil",2.5mm²,"reroy cable, single core, ghana cable"
Reroy Cables Single Core Cable 4mm²,Reroy Cables,Cables & Wires,ELE-0356,"Reroy single core PVC cable, 4mm², per 100m coil",4mm²,"reroy cable, single core, ghana cable"
Reroy Cables Single Core Cable 6mm²,Reroy Cables,Cables & Wires,ELE-0357,"Reroy single core PVC cable, 6mm², per 100m coil",6mm²,"reroy cable, single core, ghana cable"
Reroy Cables Single Core Cable 10mm²,Reroy Cables,Cables & Wires,ELE-0358,"Reroy single core PVC cable, 10mm², per 100m coil",10mm²,"reroy cable, single core, ghana cable"
Reroy Cables Single Core Cable 16mm²,Reroy Cables,Cables & Wires,ELE-0359,"Reroy single core PVC cable, 16mm², per 100m coil",16mm²,"reroy cable, single core, ghana cable"
Reroy Cables Twin and Earth Cable 1.5mm²,Reroy Cables,Cables & Wires,ELE-0360,"Reroy twin and earth flat cable, 1.5mm², per 100m coil",1.5mm²,"reroy, twin and earth, flat cable"
Reroy Cables Twin and Earth Cable 2.5mm²,Reroy Cables,Cables & Wires,ELE-0361,"Reroy twin and earth flat cable, 2.5mm², per 100m coil",2.5mm²,"reroy, twin and earth, flat cable"
Reroy Cables Twin and Earth Cable 4mm²,Reroy Cables,Cables & Wires,ELE-0362,"Reroy twin and earth flat cable, 4mm², per 100m coil",4mm²,"reroy, twin and earth, flat cable"
Aluworks Single Core Cable 2.5mm²,Aluworks,Cables & Wires,ELE-0363,"Aluworks single core cable, 2.5mm², per 100m coil",2.5mm²,"aluworks cable, single core"
Aluworks Single Core Cable 4mm²,Aluworks,Cables & Wires,ELE-0364,"Aluworks single core cable, 4mm², per 100m coil",4mm²,"aluworks cable, single core"
Aluworks Single Core Cable 6mm²,Aluworks,Cables & Wires,ELE-0365,"Aluworks single core cable, 6mm², per 100m coil",6mm²,"aluworks cable, single core"
Flexible Cord (Round 3-Core) 0.75mm²,,Cables & Wires,ELE-0366,"Round three-core flexible cord, 0.75mm², per metre",0.75mm²,"round flex, flexible cord, 3 core round"
Flexible Cord (Round 3-Core) 1.0mm²,,Cables & Wires,ELE-0367,"Round three-core flexible cord, 1.0mm², per metre",1.0mm²,"round flex, flexible cord, 3 core round"
Flexible Cord (Round 3-Core) 1.5mm²,,Cables & Wires,ELE-0368,"Round three-core flexible cord, 1.5mm², per metre",1.5mm²,"round flex, flexible cord, 3 core round"
Flexible Cord (Round 3-Core) 2.5mm²,,Cables & Wires,ELE-0369,"Round three-core flexible cord, 2.5mm², per metre",2.5mm²,"round flex, flexible cord, 3 core round"
Heat Resistant Cable (Silicone) 1.5mm²,,Cables & Wires,ELE-0370,"High temperature silicone cable, 1.5mm², per metre",1.5mm²,"heat resistant cable, silicone cable, high temp"
Heat Resistant Cable (Silicone) 2.5mm²,,Cables & Wires,ELE-0371,"High temperature silicone cable, 2.5mm², per metre",2.5mm²,"heat resistant cable, silicone cable, high temp"
Fire Resistant Cable (FP200) 1.5mm²,,Cables & Wires,ELE-0372,"Fire resistant alarm cable, 1.5mm², per metre",1.5mm²,"fire resistant cable, fp200, alarm cable"
Fire Resistant Cable (FP200) 2.5mm²,,Cables & Wires,ELE-0373,"Fire resistant alarm cable, 2.5mm², per metre",2.5mm²,"fire resistant cable, fp200, alarm cable"
Fire Alarm Cable (2-Core Red) 1.5mm²,,Cables & Wires,ELE-0374,"Two core red fire alarm cable, 1.5mm², per metre",1.5mm²,"fire alarm cable, red cable"
Concentric Service Cable 16mm²,,Cables & Wires,ELE-0375,"Concentric service entry cable, 16mm², per metre",16mm²,"concentric cable, service cable"
Concentric Service Cable 25mm²,,Cables & Wires,ELE-0376,"Concentric service entry cable, 25mm², per metre",25mm²,"concentric cable, service cable"
Aerial Bundled Cable (ABC) 16mm²,,Cables & Wires,ELE-0377,"Aerial bundled overhead cable, 16mm², per metre",16mm²,"abc cable, aerial bundled, overhead"
Aerial Bundled Cable (ABC) 25mm²,,Cables & Wires,ELE-0378,"Aerial bundled overhead cable, 25mm², per metre",25mm²,"abc cable, aerial bundled, overhead"
Aerial Bundled Cable (ABC) 35mm²,,Cables & Wires,ELE-0379,"Aerial bundled overhead cable, 35mm², per metre",35mm²,"abc cable, aerial bundled, overhead"
Earth Cable (Bare Copper) 6mm²,,Cables & Wires,ELE-0380,"Bare copper earthing conductor, 6mm², per metre",6mm²,"bare copper, earth cable, earthing conductor"
