name,brand,category,sku,description,package_size,search_keywords
Nexans Single Core Cable (Red) 1.5mm²,Nexans,Cables & Wires,ELE-0001,"Nexans single core PVC cable, red, 1.5mm², sold per 100m coil",1.5mm²,"cable, single core, red wire, house wiring"
Nexans Single Core Cable (Red) 2.5mm²,Nexans,Cables & Wires,ELE-0002,"Nexans single core PVC cable, red, 2.5mm², sold per 100m coil",2.5mm²,"cable, single core, red wire, house wiring"
Nexans Single Core Cable (Red) 4mm²,Nexans,Cables & Wires,ELE-0003,"Nexans single core PVC cable, red, 4mm², sold per 100m coil",4mm²,"cable, single core, red wire, house wiring"
Nexans Single Core Cable (Red) 6mm²,Nexans,Cables & Wires,ELE-0004,"Nexans single core PVC cable, red, 6mm², sold per 100m coil",6mm²,"cable, single core, red wire, house wiring"
Nexans Single Core Cable (Red) 10mm²,Nexans,Cables & Wires,ELE-0005,"Nexans single core PVC cable, red, 10mm², sold per 100m coil",10mm²,"cable, single core, red wire, house wiring"
Nexans Single Core Cable (Black) 1.5mm²,Nexans,Cables & Wires,ELE-0006,"Nexans single core PVC cable, black, 1.5mm², per 100m coil",1.5mm²,"cable, single core, black wire, wiring"
Nexans Single Core Cable (Black) 2.5mm²,Nexans,Cables & Wires,ELE-0007,"Nexans single core PVC cable, black, 2.5mm², per 100m coil",2.5mm²,"cable, single core, black wire, wiring"
Nexans Single Core Cable (Black) 4mm²,Nexans,Cables & Wires,ELE-0008,"Nexans single core PVC cable, black, 4mm², per 100m coil",4mm²,"cable, single core, black wire, wiring"
Nexans Single Core Cable (Black) 6mm²,Nexans,Cables & Wires,ELE-0009,"Nexans single core PVC cable, black, 6mm², per 100m coil",6mm²,"cable, single core, black wire, wiring"
Nexans Single Core Cable (Black) 10mm²,Nexans,Cables & Wires,ELE-0010,"Nexans single core PVC cable, black, 10mm², per 100m coil",10mm²,"cable, single core, black wire, wiring"
Nexans Single Core Cable (Green/Yellow Earth) 1.5mm²,Nexans,Cables & Wires,ELE-0011,"Nexans earth cable green/yellow, 1.5mm², per 100m coil",1.5mm²,"earth cable, green yellow, grounding wire"
Nexans Single Core Cable (Green/Yellow Earth) 2.5mm²,Nexans,Cables & Wires,ELE-0012,"Nexans earth cable green/yellow, 2.5mm², per 100m coil",2.5mm²,"earth cable, green yellow, grounding wire"
Nexans Single Core Cable (Green/Yellow Earth) 4mm²,Nexans,Cables & Wires,ELE-0013,"Nexans earth cable green/yellow, 4mm², per 100m coil",4mm²,"earth cable, green yellow, grounding wire"
Tropical Cables Single Core Cable 1.5mm²,Tropical Cables,Cables & Wires,ELE-0014,"Tropical Cables single core wire, 1.5mm², per 100m coil",1.5mm²,"tropical cable, single core, wiring"
