name,brand,category,sku,description,package_size,search_keywords
PVC Elbow (45 degree) 1/2 inch,,Plumbing,HDW-0345,"PVC 45-degree elbow fitting, 1/2 inch",1/2 inch,"pvc elbow 45, pipe fitting"
PVC Elbow (45 degree) 3/4 inch,,Plumbing,HDW-0346,"PVC 45-degree elbow fitting, 3/4 inch",3/4 inch,"pvc elbow 45, pipe fitting"
PVC Elbow (45 degree) 1 inch,,Plumbing,HDW-0347,"PVC 45-degree elbow fitting, 1 inch",1 inch,"pvc elbow 45, pipe fitting"
PVC Elbow (45 degree) 2 inch,,Plumbing,HDW-0348,"PVC 45-degree elbow fitting, 2 inch",2 inch,"pvc elbow 45, pipe fitting"
PVC Cross Fitting 1/2 inch,,Plumbing,HDW-0349,"PVC four-way cross fitting, 1/2 inch",1/2 inch,"pvc cross, cross fitting"
PVC Cross Fitting 1 inch,,Plumbing,HDW-0350,"PVC four-way cross fitting, 1 inch",1 inch,"pvc cross, cross fitting"
PVC Male Adaptor 1/2 inch,,Plumbing,HDW-0351,"PVC male threaded adaptor, 1/2 inch",1/2 inch,"male adaptor, pvc fitting"
PVC Male Adaptor 3/4 inch,,Plumbing,HDW-0352,"PVC male threaded adaptor, 3/4 inch",3/4 inch,"male adaptor, pvc fitting"
PVC Male Adaptor 1 inch,,Plumbing,HDW-0353,"PVC male threaded adaptor, 1 inch",1 inch,"male adaptor, pvc fitting"
PVC Female Adaptor 1/2 inch,,Plumbing,HDW-0354,"PVC female threaded adaptor, 1/2 inch",1/2 inch,"female adaptor, pvc fitting"
PVC Female Adaptor 3/4 inch,,Plumbing,HDW-0355,"PVC female threaded adaptor, 3/4 inch",3/4 inch,"female adaptor, pvc fitting"
PVC Female Adaptor 1 inch,,Plumbing,HDW-0356,"PVC female threaded adaptor, 1 inch",1 inch,"female adaptor, pvc fitting"
PVC Tank Connector 1/2 inch,,Plumbing,HDW-0357,"PVC water tank connector, 1/2 inch",1/2 inch,"tank connector, tank fitting"
PVC Tank Connector 3/4 inch,,Plumbing,HDW-0358,"PVC water tank connector, 3/4 inch",3/4 inch,"tank connector, tank fitting"
PVC Tank Connector 1 inch,,Plumbing,HDW-0359,"PVC water tank connector, 1 inch",1 inch,"tank connector, tank fitting"
PVC Y-Junction 3 inch,,Plumbing,HDW-0360,"PVC Y-junction drainage fitting, 3 inch",3 inch,"y junction, drainage fitting"
PVC Y-Junction 4 inch,,Plumbing,HDW-0361,"PVC Y-junction drainage fitting, 4 inch",4 inch,"y junction, drainage fitting"
PVC P-Trap (Waste) 1.5 inch,,Plumbing,HDW-0362,"PVC waste P-trap, 1.5 inch",1.5 inch,"p trap, waste trap"
PVC P-Trap (Waste) 2 inch,,Plumbing,HDW-0363,"PVC waste P-trap, 2 inch",2 inch,"p trap, waste trap"
