name,brand,category,sku,description,package_size,search_keywords
Ghacem Portland Cement 50kg bag,Ghacem,Cement & Aggregates,HDW-0001,"Ghacem Portland cement, 50kg bag",50kg bag,"ghacem, cement, portland cement"
Diamond Cement Portland Cement 50kg bag,Diamond Cement,Cement & Aggregates,HDW-0002,"Diamond cement, 50kg bag",50kg bag,"diamond cement, cement"
Dangote Cement Portland Cement 50kg bag,Dangote Cement,Cement & Aggregates,HDW-0003,"Dangote cement, 50kg bag",50kg bag,"dangote cement, cement"
Supacem Portland Cement 50kg bag,Supacem,Cement & Aggregates,HDW-0004,"Supacem cement, 50kg bag",50kg bag,"supacem, cement"
CIMAF Portland Cement 50kg bag,CIMAF,Cement & Aggregates,HDW-0005,"CIMAF cement, 50kg bag",50kg bag,"cimaf, cement"
White Cement 25kg bag,,Cement & Aggregates,HDW-0006,"White Portland cement, 25kg bag",25kg bag,white cement
White Cement 50kg bag,,Cement & Aggregates,HDW-0007,"White Portland cement, 50kg bag",50kg bag,white cement
Rapid Hardening Cement 50kg bag,,Cement & Aggregates,HDW-0008,"Rapid hardening Portland cement, 50kg bag",50kg bag,"rapid cement, quick set cement"
Sharp Sand Per tonne,,Cement & Aggregates,HDW-0009,"Washed sharp sand for concrete, Per tonne",Per tonne,"sharp sand, building sand"
Sharp Sand Per trip (tipper),,Cement & Aggregates,HDW-0010,"Washed sharp sand for concrete, Per trip (tipper)",Per trip (tipper),"sharp sand, building sand"
Pit Sand / Plastering Sand Per tonne,,Cement & Aggregates,HDW-0011,"Fine pit sand for plastering, Per tonne",Per tonne,"pit sand, plaster sand"
Pit Sand / Plastering Sand Per trip (tipper),,Cement & Aggregates,HDW-0012,"Fine pit sand for plastering, Per trip (tipper)",Per trip (tipper),"pit sand, plaster sand"
Quarry Dust (Stone Dust) Per tonne,,Cement & Aggregates,HDW-0013,"Quarry stone dust, Per tonne",Per tonne,"quarry dust, stone dust"
Quarry Dust (Stone Dust) Per trip,,Cement & Aggregates,HDW-0014,"Quarry stone dust, Per trip",Per trip,"quarry dust, stone dust"
Chippings (Granite 3/4) Per tonne,,Cement & Aggregates,HDW-0015,"Granite chippings 3/4 inch, Per tonne",Per tonne,"chippings, granite, aggregate"
Chippings (Granite 3/4) Per trip,,Cement & Aggregates,HDW-0016,"Granite chippings 3/4 inch, Per trip",Per trip,"chippings, granite, aggregate"
Chippings (Granite 1/2) Per tonne,,Cement & Aggregates,HDW-0017,"Granite chippings 1/2 inch, Per tonne",Per tonne,"chippings, granite"
Gravel / Laterite Per trip,,Cement & Aggregates,HDW-0018,"Laterite gravel for filling, Per trip",Per trip,"gravel, laterite, filling"
Concrete Blocks (6 inch Solid) Per piece,,Cement & Aggregates,HDW-0019,"6-inch solid concrete block, Per piece",Per piece,"concrete block, cement block, 6 inch block"
