name,brand,category,sku,description,package_size,search_keywords
Oraimo USB-C Charging Cable 1m,Oraimo,Phone Chargers & Cables,ICT-0001,"Oraimo USB-C fast charging cable, 1m",1m,"oraimo, usb c cable, charging cable, type c"
Oraimo USB-C Charging Cable 2m,Oraimo,Phone Chargers & Cables,ICT-0002,"Oraimo USB-C fast charging cable, 2m",2m,"oraimo, usb c cable, charging cable, type c"
Oraimo Micro USB Charging Cable 1m,Oraimo,Phone Chargers & Cables,ICT-0003,"Oraimo micro USB charging cable, 1m",1m,"oraimo, micro usb, charging cable"
Oraimo Micro USB Charging Cable 2m,Oraimo,Phone Chargers & Cables,ICT-0004,"Oraimo micro USB charging cable, 2m",2m,"oraimo, micro usb, charging cable"
Lightning Cable (iPhone) 1m,,Phone Chargers & Cables,ICT-0005,"iPhone lightning charging cable, 1m",1m,"lightning cable, iphone cable"
Lightning Cable (iPhone) 2m,,Phone Chargers & Cables,ICT-0006,"iPhone lightning charging cable, 2m",2m,"lightning cable, iphone cable"
USB-C to Lightning Cable 1m,,Phone Chargers & Cables,ICT-0007,"USB-C to lightning fast cable, 1m",1m,"usb c lightning, iphone fast cable"
Oraimo Wall Charger (Single Port) 1 piece,Oraimo,Phone Chargers & Cables,ICT-0008,"Oraimo single USB wall charger, 1 piece",1 piece,"oraimo charger, wall charger, adapter"
Wall Charger (Dual Port) 1 piece,,Phone Chargers & Cables,ICT-0009,"Dual USB port wall charger, 1 piece",1 piece,"dual charger, wall charger"
Fast Charger (Quick Charge 3.0) 1 piece,,Phone Chargers & Cables,ICT-0010,"Quick Charge 3.0 fast wall charger, 1 piece",1 piece,"fast charger, quick charge, qc3"
Super Fast Charger (PD 20W) 1 piece,,Phone Chargers & Cables,ICT-0011,"20W USB-C PD super fast charger, 1 piece",1 piece,"pd charger, super fast charger, 20w"
Car Charger (Dual USB) 1 piece,,Phone Chargers & Cables,ICT-0012,"Dual USB car charger adapter, 1 piece",1 piece,"car charger, usb car charger"
Car Charger (Fast) 1 piece,,Phone Chargers & Cables,ICT-0013,"Fast charging car charger, 1 piece",1 piece,"car charger, fast car charger"
Multi-Port Charging Station 4-port,,Phone Chargers & Cables,ICT-0014,"Multi-port USB charging station, 4-port",4-port,"charging station, multi port charger"
Multi-Port Charging Station 6-port,,Phone Chargers & Cables,ICT-0015,"Multi-port USB charging station, 6-port",6-port,"charging station, multi port charger"
Wireless Charger Pad 1 piece,,Phone Chargers & Cables,ICT-0016,"Qi wireless charging pad, 1 piece",1 piece,"wireless charger, qi charger"
3-in-1 Charging Cable 1 piece,,Phone Chargers & Cables,ICT-0017,"3-in-1 multi connector charging cable, 1 piece",1 piece,"3 in 1 cable, multi charging cable"
Charging Cable (Braided) 1m,,Phone Chargers & Cables,ICT-0018,"Braided nylon fast charging cable, 1m",1m,"braided cable, charging cable"
Charging Cable (Braided) 2m,,Phone Chargers & Cables,ICT-0019,"Braided nylon fast charging cable, 2m",2m,"braided cable, charging cable"
Oraimo Power Bank 10000mAh 1 piece,Oraimo,Power Banks & Batteries,ICT-0020,"Oraimo 10000mAh power bank, 1 piece",1 piece,"oraimo power bank, 10000mah, power bank"
Oraimo Power Bank 20000mAh 1 piece,Oraimo,Power Banks & Batteries,ICT-0021,"Oraimo 20000mAh power bank, 1 piece",1 piece,"oraimo power bank, 20000mah"
Power Bank 30000mAh 1 piece,,Power Banks & Batteries,ICT-0022,"30000mAh high capacity power bank, 1 piece",1 piece,"power bank, 30000mah"
Solar Power Bank 1 piece,,Power Banks & Batteries,ICT-0023,"Solar rechargeable power bank, 1 piece",1 piece,"solar power bank, power bank"
Mini Power Bank (Keychain) 1 piece,,Power Banks & Batteries,ICT-0024,"Compact mini power bank, 1 piece",1 piece,"mini power bank, small power bank"
Phone Battery (Universal) Assorted,,Power Banks & Batteries,ICT-0025,"Replacement phone battery, Assorted",Assorted,"phone battery, replacement battery"
Rechargeable AA Batteries Pack of 4,,Power Banks & Batteries,ICT-0026,"Rechargeable AA batteries, Pack of 4",Pack of 4,"rechargeable batteries, aa battery"
Dry Cell Batteries (AA) Pack of 4,,Power Banks & Batteries,ICT-0027,"AA alkaline dry cell batteries, Pack of 4",Pack of 4,"aa batteries, dry cell"
Dry Cell Batteries (AAA) Pack of 4,,Power Banks & Batteries,ICT-0028,"AAA alkaline dry cell batteries, Pack of 4",Pack of 4,"aaa batteries, dry cell"
Button Cell Batteries (CR2032) Pack of 5,,Power Banks & Batteries,ICT-0029,"CR2032 lithium coin batteries, Pack of 5",Pack of 5,"button cell, coin battery, cr2032"
Laptop Battery (Universal) Assorted,,Power Banks & Batteries,ICT-0030,"Replacement laptop battery, Assorted",Assorted,"laptop battery, replacement battery"
Oraimo Earphones (Wired) 1 piece,Oraimo,Audio,ICT-0031,"Oraimo wired in-ear earphones, 1 piece",1 piece,"oraimo earphones, wired earphones"
Earphones (Wired with Mic) 1 piece,,Audio,ICT-0032,"In-ear earphones with microphone, 1 piece",1 piece,"earphones, earbuds, headset"
Oraimo Wireless Earbuds (TWS) 1 pair,Oraimo,Audio,ICT-0033,"Oraimo true wireless earbuds, 1 pair",1 pair,"oraimo earbuds, tws, wireless earbuds"
Wireless Earbuds (TWS) 1 pair,,Audio,ICT-0034,"True wireless bluetooth earbuds, 1 pair",1 pair,"tws, wireless earbuds, bluetooth earbuds"
Bluetooth Headphones (Over-Ear) 1 piece,,Audio,ICT-0035,"Over-ear bluetooth headphones, 1 piece",1 piece,"bluetooth headphones, wireless headphones"
Gaming Headset (Wired) 1 piece,,Audio,ICT-0036,"Wired gaming headset with mic, 1 piece",1 piece,"gaming headset, headset"
Oraimo Bluetooth Speaker (Portable) 1 piece,Oraimo,Audio,ICT-0037,"Oraimo portable bluetooth speaker, 1 piece",1 piece,"oraimo speaker, bluetooth speaker"
Bluetooth Speaker (Large) 1 piece,,Audio,ICT-0038,"Large party bluetooth speaker, 1 piece",1 piece,"bluetooth speaker, party speaker"
Neckband Earphones (Bluetooth) 1 piece,,Audio,ICT-0039,"Bluetooth neckband sports earphones, 1 piece",1 piece,"neckband, bluetooth earphones"
FM Radio (Portable) 1 piece,,Audio,ICT-0040,"Portable rechargeable FM radio, 1 piece",1 piece,"fm radio, portable radio"
Screen Protector (Tempered Glass) Assorted models,,Phone Protection & Mounts,ICT-0041,"Tempered glass screen protector, Assorted models",Assorted models,"screen protector, tempered glass"
Screen Protector (Privacy) Assorted models,,Phone Protection & Mounts,ICT-0042,"Privacy tempered glass protector, Assorted models",Assorted models,privacy screen protector
Phone Case (Silicone) Assorted models,,Phone Protection & Mounts,ICT-0043,"Silicone protective phone case, Assorted models",Assorted models,"phone case, silicone case"
Phone Case (Shockproof) Assorted models,,Phone Protection & Mounts,ICT-0044,"Shockproof armour phone case, Assorted models",Assorted models,"shockproof case, phone case"
Phone Case (Transparent) Assorted models,,Phone Protection & Mounts,ICT-0045,"Clear transparent phone case, Assorted models",Assorted models,"clear case, transparent case"
Phone Wallet Case (Flip) Assorted models,,Phone Protection & Mounts,ICT-0046,"Flip wallet phone case, Assorted models",Assorted models,"flip case, wallet case"
Pop Socket / Phone Grip 1 piece,,Phone Protection & Mounts,ICT-0047,"Collapsible phone grip holder, 1 piece",1 piece,"pop socket, phone grip"
Phone Ring Holder 1 piece,,Phone Protection & Mounts,ICT-0048,"Adhesive phone ring stand, 1 piece",1 piece,"ring holder, phone ring"
Car Phone Mount (Dashboard) 1 piece,,Phone Protection & Mounts,ICT-0049,"Dashboard car phone holder mount, 1 piece",1 piece,"car mount, phone holder, car holder"
Car Phone Mount (Vent) 1 piece,,Phone Protection & Mounts,ICT-0050,"Air vent car phone mount, 1 piece",1 piece,"car mount, vent holder"
