name,brand,category,sku,description,package_size,search_keywords
Tomato King Perfumed Rice 5kg,Tomato King,Rice & Grains,GPS-0001,"Long grain perfumed rice, 5kg bag",5kg,"rice, perfumed rice, tomato king, grains"
Tomato King Perfumed Rice 10kg,Tomato King,Rice & Grains,GPS-0002,"Long grain perfumed rice, 10kg bag",10kg,"rice, perfumed rice, tomato king, grains"
Tomato King Perfumed Rice 25kg,Tomato King,Rice & Grains,GPS-0003,"Long grain perfumed rice, 25kg bag",25kg,"rice, perfumed rice, tomato king, grains"
Tomato King Perfumed Rice 50kg,Tomato King,Rice & Grains,GPS-0004,"Long grain perfumed rice, 50kg bag",50kg,"rice, perfumed rice, tomato king, grains"
Caprice Perfumed Rice 5kg,Caprice,Rice & Grains,GPS-0005,"Premium perfumed rice, 5kg bag",5kg,"rice, caprice, perfumed, grains"
Caprice Perfumed Rice 10kg,Caprice,Rice & Grains,GPS-0006,"Premium perfumed rice, 10kg bag",10kg,"rice, caprice, perfumed, grains"
Caprice Perfumed Rice 25kg,Caprice,Rice & Grains,GPS-0007,"Premium perfumed rice, 25kg bag",25kg,"rice, caprice, perfumed, grains"
Caprice Perfumed Rice 50kg,Caprice,Rice & Grains,GPS-0008,"Premium perfumed rice, 50kg bag",50kg,"rice, caprice, perfumed, grains"
Royal Aroma Perfumed Rice 5kg,Royal Aroma,Rice & Grains,GPS-0009,"Aromatic long grain rice, 5kg bag",5kg,"rice, royal aroma, perfumed rice"
Royal Aroma Perfumed Rice 10kg,Royal Aroma,Rice & Grains,GPS-0010,"Aromatic long grain rice, 10kg bag",10kg,"rice, royal aroma, perfumed rice"
Royal Aroma Perfumed Rice 25kg,Royal Aroma,Rice & Grains,GPS-0011,"Aromatic long grain rice, 25kg bag",25kg,"rice, royal aroma, perfumed rice"
Sunshine Perfumed Rice 5kg,Sunshine,Rice & Grains,GPS-0012,"Sunshine brand perfumed rice, 5kg bag",5kg,"rice, sunshine rice, grains"
Sunshine Perfumed Rice 10kg,Sunshine,Rice & Grains,GPS-0013,"Sunshine brand perfumed rice, 10kg bag",10kg,"rice, sunshine rice, grains"
Sunshine Perfumed Rice 25kg,Sunshine,Rice & Grains,GPS-0014,"Sunshine brand perfumed rice, 25kg bag",25kg,"rice, sunshine rice, grains"
Sunshine Perfumed Rice 50kg,Sunshine,Rice & Grains,GPS-0015,"Sunshine brand perfumed rice, 50kg bag",50kg,"rice, sunshine rice, grains"
GB Broken Rice 5kg,GB,Rice & Grains,GPS-0016,"Local broken rice, 5kg bag",5kg,"rice, gb rice, broken rice, local rice"
GB Broken Rice 25kg,GB,Rice & Grains,GPS-0017,"Local broken rice, 25kg bag",25kg,"rice, gb rice, broken rice, local rice"
GB Broken Rice 50kg,GB,Rice & Grains,GPS-0018,"Local broken rice, 50kg bag",50kg,"rice, gb rice, broken rice, local rice"
Rina Basmati Rice 1kg,Rina,Rice & Grains,GPS-0019,"Premium basmati rice, 1kg pack",1kg,"basmati rice, rina, grains"
Rina Basmati Rice 5kg,Rina,Rice & Grains,GPS-0020,"Premium basmati rice, 5kg pack",5kg,"basmati rice, rina, grains"
Rina Basmati Rice 10kg,Rina,Rice & Grains,GPS-0021,"Premium basmati rice, 10kg pack",10kg,"basmati rice, rina, grains"
Golden Elephant Jasmine Rice 5kg,Golden Elephant,Rice & Grains,GPS-0022,"Fragrant jasmine rice, 5kg bag",5kg,"jasmine rice, golden elephant"
Golden Elephant Jasmine Rice 10kg,Golden Elephant,Rice & Grains,GPS-0023,"Fragrant jasmine rice, 10kg bag",10kg,"jasmine rice, golden elephant"
Nafaso Local Rice 5kg,Nafaso,Rice & Grains,GPS-0024,"Ghanaian grown local rice, 5kg bag",5kg,"local rice, nafaso, ghana rice"
Nafaso Local Rice 25kg,Nafaso,Rice & Grains,GPS-0025,"Ghanaian grown local rice, 25kg bag",25kg,"local rice, nafaso, ghana rice"
Nafaso Local Rice 50kg,Nafaso,Rice & Grains,GPS-0026,"Ghanaian grown local rice, 50kg bag",50kg,"local rice, nafaso, ghana rice"
Beans (Black-eyed) 1kg,,Rice & Grains,GPS-0027,"Dried black-eyed beans, 1kg bag",1kg,"beans, black eyed peas, adua"
Beans (Black-eyed) 5kg,,Rice & Grains,GPS-0028,"Dried black-eyed beans, 5kg bag",5kg,"beans, black eyed peas, adua"
Beans (Black-eyed) 25kg,,Rice & Grains,GPS-0029,"Dried black-eyed beans, 25kg bag",25kg,"beans, black eyed peas, adua"
Beans (Red) 1kg,,Rice & Grains,GPS-0030,"Dried red beans, 1kg bag",1kg,"red beans, kidney beans"
Beans (Red) 5kg,,Rice & Grains,GPS-0031,"Dried red beans, 5kg bag",5kg,"red beans, kidney beans"
Beans (Red) 25kg,,Rice & Grains,GPS-0032,"Dried red beans, 25kg bag",25kg,"red beans, kidney beans"
Gari (White) 1kg,,Rice & Grains,GPS-0033,"Locally processed white gari, 1kg bag",1kg,"gari, cassava, garri"
Gari (White) 5kg,,Rice & Grains,GPS-0034,"Locally processed white gari, 5kg bag",5kg,"gari, cassava, garri"
Gari (White) 25kg,,Rice & Grains,GPS-0035,"Locally processed white gari, 25kg bag",25kg,"gari, cassava, garri"
Gari (Yellow/Ijebu) 1kg,,Rice & Grains,GPS-0036,"Ijebu-style yellow gari, 1kg bag",1kg,"gari, ijebu gari, yellow garri"
Gari (Yellow/Ijebu) 5kg,,Rice & Grains,GPS-0037,"Ijebu-style yellow gari, 5kg bag",5kg,"gari, ijebu gari, yellow garri"
Gari (Yellow/Ijebu) 25kg,,Rice & Grains,GPS-0038,"Ijebu-style yellow gari, 25kg bag",25kg,"gari, ijebu gari, yellow garri"
Millet 1kg,,Rice & Grains,GPS-0039,"Whole millet grain, 1kg bag",1kg,"millet, grains, staple"
Millet 5kg,,Rice & Grains,GPS-0040,"Whole millet grain, 5kg bag",5kg,"millet, grains, staple"
Maize (Corn) 5kg,,Rice & Grains,GPS-0041,"Dried maize/corn, 5kg bag",5kg,"maize, corn, aburo"
Maize (Corn) 25kg,,Rice & Grains,GPS-0042,"Dried maize/corn, 25kg bag",25kg,"maize, corn, aburo"
Maize (Corn) 50kg,,Rice & Grains,GPS-0043,"Dried maize/corn, 50kg bag",50kg,"maize, corn, aburo"
