name,brand,category,sku,description,package_size,search_keywords
Mama Gold Perfumed Rice 5kg,Mama Gold,Rice & Grains,GPS-0433,"Mama Gold perfumed rice, 5kg bag",5kg,"mama gold, rice, perfumed rice"
Mama Gold Perfumed Rice 10kg,Mama Gold,Rice & Grains,GPS-0434,"Mama Gold perfumed rice, 10kg bag",10kg,"mama gold, rice, perfumed rice"
Mama Gold Perfumed Rice 25kg,Mama Gold,Rice & Grains,GPS-0435,"Mama Gold perfumed rice, 25kg bag",25kg,"mama gold, rice, perfumed rice"
Mama Gold Perfumed Rice 50kg,Mama Gold,Rice & Grains,GPS-0436,"Mama Gold perfumed rice, 50kg bag",50kg,"mama gold, rice, perfumed rice"
Rice Master Perfumed Rice 5kg,Rice Master,Rice & Grains,GPS-0437,"Rice Master perfumed rice, 5kg bag",5kg,"rice master, perfumed rice"
Rice Master Perfumed Rice 25kg,Rice Master,Rice & Grains,GPS-0438,"Rice Master perfumed rice, 25kg bag",25kg,"rice master, perfumed rice"
Ofam Rice 5kg,,Rice & Grains,GPS-0439,"Local Ofam rice variety, 5kg bag",5kg,"ofam rice, local rice ghana"
Ofam Rice 25kg,,Rice & Grains,GPS-0440,"Local Ofam rice variety, 25kg bag",25kg,"ofam rice, local rice ghana"
Royal Stallion Aroma Rice 5kg,Royal Stallion,Rice & Grains,GPS-0441,"Royal Stallion aroma rice, 5kg bag",5kg,"royal stallion, rice"
Royal Stallion Aroma Rice 10kg,Royal Stallion,Rice & Grains,GPS-0442,"Royal Stallion aroma rice, 10kg bag",10kg,"royal stallion, rice"
Royal Stallion Aroma Rice 50kg,Royal Stallion,Rice & Grains,GPS-0443,"Royal Stallion aroma rice, 50kg bag",50kg,"royal stallion, rice"
Brown Rice 1kg,,Rice & Grains,GPS-0444,"Unpolished brown rice, 1kg bag",1kg,"brown rice, whole grain rice"
Brown Rice 5kg,,Rice & Grains,GPS-0445,"Unpolished brown rice, 5kg bag",5kg,"brown rice, whole grain rice"
Beans (Brown/Local) 1kg,,Rice & Grains,GPS-0446,"Local brown beans, 1kg bag",1kg,"brown beans, local beans, adua"
